2018-12-20__20:36 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.42,0.50,0.42] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:36 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.39,0.49,0.42] 29941M 75.4% 927M 12.0% 51002 normal normal note
2018-12-20__20:36 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.35,0.49,0.42] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:36 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.45,0.50,0.42] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:37 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.42,0.49,0.42] 29941M 75.4% 927M 12.0% 49925 normal normal normal
2018-12-20__20:37 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.38,0.49,0.42] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:37 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.40,0.49,0.42] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:37 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [0.37,0.48,0.42] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:37 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [0.34,0.47,0.41] 29941M 75.4% 927M 11.9% 50464 normal normal note
2018-12-20__20:37 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [0.36,0.47,0.41] 29941M 75.4% 927M 12.1% 49925 normal normal normal
2018-12-20__20:37 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [0.33,0.46,0.41] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:37 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [0.30,0.45,0.41] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:37 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [0.40,0.47,0.42] 29941M 75.4% 927M 12.0% 50464 normal normal note
