2018-12-20 20:39  927M  815M  12.0%  8.7%
2018-12-20 20:39  927M  815M  12.0%  8.7%
2018-12-20 20:39  927M  815M  12.0%  8.7%
2018-12-20 20:40  927M  815M  12.0%  8.7%
2018-12-20 20:40  927M  815M  12.0%  8.7%
2018-12-20 20:40  927M  815M  12.0%  8.7%
2018-12-20 20:40  927M  813M  12.2%  8.8%
2018-12-20 20:40  927M  814M  12.1%  8.7%
2018-12-20 20:40  927M  814M  12.1%  8.7%
2018-12-20 20:40  927M  815M  12.0%  8.7%
2018-12-20 20:40  927M  815M  12.0%  8.7%
2018-12-20 20:40  927M  815M  12.0%  8.7%
2018-12-20 20:40  927M  815M  12.0%  8.7%
2018-12-20 20:41  927M  815M  12.0%  8.7%
2018-12-20 20:41  927M  813M  12.2%  8.8%
2018-12-20 20:41  927M  813M  12.2%  8.8%
2018-12-20 20:41  927M  815M  12.0%  8.7%
2018-12-20 20:41  927M  814M  12.1%  8.7%
2018-12-20 20:41  927M  814M  12.1%  8.7%
2018-12-20 20:41  927M  815M  12.0%  8.7%
2018-12-20 20:41  927M  815M  12.0%  8.7%
2018-12-20 20:42  927M  814M  12.1%  8.7%
2018-12-20 20:42  927M  809M  12.7%  9.1%
2018-12-20 20:42  927M  814M  12.1%  8.7%
2018-12-20 20:42  927M  814M  12.1%  8.7%
2018-12-20 20:42  927M  815M  12.0%  8.7%
2018-12-20 20:42  927M  814M  12.1%  8.7%
2018-12-20 20:42  927M  814M  12.1%  8.7%
2018-12-20 20:42  927M  815M  12.0%  8.7%
2018-12-20 20:42  927M  813M  12.2%  8.8%
2018-12-20 20:42  927M  814M  12.1%  8.7%
2018-12-20 20:42  927M  815M  12.0%  8.7%
2018-12-20 20:43  927M  815M  12.0%  8.7%
2018-12-20 20:43  927M  815M  12.0%  8.7%
2018-12-20 20:43  927M  816M  11.9%  8.6%
2018-12-20 20:43  927M  815M  12.0%  8.7%
2018-12-20 20:43  927M  813M  12.2%  8.8%
2018-12-20 20:43  927M  814M  12.1%  8.7%
2018-12-20 20:43  927M  815M  12.0%  8.7%
2018-12-20 20:43  927M  815M  12.0%  8.7%
2018-12-20 20:43  927M  815M  12.0%  8.7%
2018-12-20 20:43  927M  815M  12.0%  8.7%
2018-12-20 20:44  927M  814M  12.1%  8.7%
