2018-12-20__20:37 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.77,0.68,0.46] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:37 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.78,0.68,0.47] 29941M 52.3% 927M 16.0% 44546 normal normal normal
2018-12-20__20:37 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.72,0.67,0.46] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:37 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [0.92,0.72,0.48] 29941M 52.3% 927M 15.9% 44007 normal normal normal
2018-12-20__20:37 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [1.09,0.75,0.50] 29941M 52.3% 927M 16.0% 44546 normal normal normal
2018-12-20__20:37 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [1.00,0.74,0.49] 29941M 52.3% 927M 15.9% 44007 normal normal normal
2018-12-20__20:37 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [0.92,0.73,0.49] 29941M 52.3% 927M 16.0% 43470 normal normal normal
2018-12-20__20:37 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [0.85,0.72,0.49] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:37 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [0.79,0.71,0.49] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:37 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [0.72,0.70,0.48] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:38 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [0.75,0.70,0.49] 29941M 52.3% 927M 16.0% 43470 normal normal normal
2018-12-20__20:38 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 34 minutes] [0.77,0.71,0.49] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:38 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 35 minutes] [0.72,0.70,0.49] 29941M 52.3% 927M 16.1% 44546 normal normal normal
2018-12-20__20:38 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 35 minutes] [0.74,0.70,0.49] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:38 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 35 minutes] [0.68,0.69,0.49] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:38 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 35 minutes] [0.63,0.68,0.49] 29941M 52.3% 927M 16.0% 43470 normal normal normal
